created_at,id,id_str,text,source,truncated,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,filter_level,lang,timestamp_ms,user_id,user_id_str,user_screen_name,user_location,user_description,user_protected,user_verified,user_followers_count,user_friends_count,user_created_at,entities_screen_name,entities_name,entities_id,entities_id_str,extended_entities,possibly_sensitive,quoted_status_id,quoted_status_id_str,quoted_status,quoted_status_permalink
Tue Dec 08 12:54:38 +0000 2020,1336293108502421506,1336293108502421506,"RT @Frandroid: #Concours JOUR 8 🎁

Gagnez une barre de son Q-Series HW-Q70T + un caisson de basse Samsung 🎶

Pour participer :
1⃣ Tweet #Fr…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,,,,,False,low,en,1607432078849,2919750234,2919750234,mireilledr22,,,False,False,537,4981,Fri Dec 05 15:33:33 +0000 2014,Frandroid,Frandroid,25260412,25260412,,,,,,
Tue Dec 08 12:54:39 +0000 2020,1336293110851268610,1336293110851268610,"RT @Redsan: The Queen’s Gambit ❤️

#3D #ZBrush #Arnold #ToyDesign #DanEder #TheQueensGambit #Netflix https://t.co/Sk1FjPOxfn","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,,,,,,,,,,False,low,en,1607432079409,2311588763,2311588763,dimtri_G,"Paris, France","Freelance Designer & Instructor, Former @hetic",False,False,386,294,Wed Jan 29 09:52:06 +0000 2014,Redsan,Redsan,6920122,6920122,,False,,,,
Tue Dec 08 12:54:39 +0000 2020,1336293112965001216,1336293112965001216,"RT @_Yukochaan: Lia : since I changed my phone it log out from everything, youtube and Netflix etc","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,,,,,False,low,en,1607432079913,1253741026440708096,1253741026440708096,ninaoutsangmeh,,,False,False,102,46,Fri Apr 24 17:42:20 +0000 2020,_Yukochaan,Yuko 〽️,1087063815047524355,1087063815047524355,,,,,,
Tue Dec 08 12:54:43 +0000 2020,1336293127003369472,1336293127003369472,"RT @_Rosyeeel_: Pricelist of premium accounts 👇

• NETFLIX
• SPOTIFY
• CRUNCHYROLL
• VIU

🏷️ 1 Month 2 3 Months No Hold Full Warranty Mega…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,,,,,False,low,en,1607432083260,1311276873599479808,1311276873599479808,lmd_0916,,,False,False,129,803,Wed Sep 30 12:09:10 +0000 2020,_Rosyeeel_,OPEN | NETFLIX 3 MONTHS @140,1282168806354284549,1282168806354284549,,,,,,
Tue Dec 08 12:54:43 +0000 2020,1336293129566076928,1336293129566076928,RT @3inchesofsnow: Netflix ทำให้เรากล้าดูหนังที่ไม่คิดจะไปดูในโรง และพอดูแล้วก็คิดว่าดีแล้วที่ตอนนั้นไม่ได้ดูในโรง,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,,,,,,,,,,False,low,th,1607432083871,1244151248326029312,1244151248326029312,ohmymym_y,,ʀᴜᴀɴɢᴋᴀᴏᴡ | vottom | อั่ยเด้กมุ้จุ้🤏 | 🧸☁️🛏,False,False,36,318,Sun Mar 29 06:36:00 +0000 2020,3inchesofsnow,3 Inches of Snow,25986919,25986919,,,,,,
Tue Dec 08 12:54:44 +0000 2020,1336293130191007745,1336293130191007745,RT @LadyVelvet_HFQ: Going to watch #TheSpy series on #Netflix - your thoughts &amp; opinions ?,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,,,,,False,low,en,1607432084020,1168204151370600449,1168204151370600449,Mohahmadusman,,,False,False,875,1287,Sun Sep 01 16:49:23 +0000 2019,LadyVelvet_HFQ,Hend F Q,448259967,448259967,,,,,,
Tue Dec 08 12:54:44 +0000 2020,1336293130379948032,1336293130379948032,"RT @netflix: From the makers of Black Mirror comes Death to 2020, the comedy event you'll never forget from the year you don't want to reme…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,,,,,,,,,,False,low,en,1607432084065,322240552,322240552,PurpleKirby,ZZ9 Plural Z Alpha,#NAZISRAUS / female / 28 / gamer / anime lover / cosplayer / #Tsukki / Playstation ΔOX❏ fangirl since 1997 / Hold the door / @hawosyo,False,False,242,621,Wed Jun 22 21:19:50 +0000 2011,netflix,Netflix,16573941,16573941,,,,,,
Tue Dec 08 12:54:44 +0000 2020,1336293132363657217,1336293132363657217,"RT @POLYGONPICTURES: 【12月30日配信開始】
当社がアニメーション制作を担当した『トランスフォーマー: ウォー・フォー・サイバトロン・トリロジー: アースライズ』が、12月30日（水）よりNetflixで全世界配信！
新たに解禁されたトレイラーとともに、配…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,,,,,True,low,ja,1607432084538,4741484419,4741484419,OGREATTFs,宮城,"気が向いたらなんかつぶやいたり。たまに愚痴を吐いたり。
主な趣味:トランスフォーマー、特撮、ゴジラ、仮面ライダー、スーパー戦隊、スーパーロボット大戦、
TFや戦隊ロボなどを買い集めたりする
ブルーティカスが好き
心を震わせた作品「魔弾戦記リュウケンドー」",False,False,1032,1492,Mon Jan 11 04:06:43 +0000 2016,POLYGONPICTURES,ポリゴン・ピクチュアズ,158179251,158179251,,,1.3360981651292406e+18,1336098165129240576,1336098165129240576,
Tue Dec 08 12:54:44 +0000 2020,1336293134246977537,1336293134246977537,"RT @prepaidpremiums: DIRECT MAKER &amp; DIRECT TO MAKER
 ~ looking for buyer / active reseller ♡ ~

☆ netflix premium

1 month
solo -- 150
shar…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,,,,,False,low,en,1607432084987,1297625253531668480,1297625253531668480,ynaluckyy,sikret,"Life Goes On,Lets Live On.
Gcash no:09202683501",False,False,134,1500,Sun Aug 23 20:02:49 +0000 2020,prepaidpremiums,"nf @ 50, chegg @ 150 | open",1311373440557805569,1311373440557805569,,,,,,
Tue Dec 08 12:54:47 +0000 2020,1336293143369531392,1336293143369531392,RT @3inchesofsnow: Netflix ทำให้เรากล้าดูหนังที่ไม่คิดจะไปดูในโรง และพอดูแล้วก็คิดว่าดีแล้วที่ตอนนั้นไม่ได้ดูในโรง,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,,,,,False,low,th,1607432087162,347731355,347731355,psnrj_12,South Korea,💗💗💗💗💗💗💗💗💗💗💗,False,False,78,629,Wed Aug 03 08:01:30 +0000 2011,3inchesofsnow,3 Inches of Snow,25986919,25986919,,,,,,
